month,total_orders,previous_month_orders,change_in_order,trend
2016-09,4,NULL,NULL,same
2016-10,324,4,320,Increased
2016-12,1,324,-323,Decreased
2017-01,800,1,799,Increased
2017-02,1780,800,980,Increased
2017-03,2682,1780,902,Increased
2017-04,2404,2682,-278,Decreased
2017-05,3700,2404,1296,Increased
2017-06,3245,3700,-455,Decreased
2017-07,4026,3245,781,Increased
2017-08,4331,4026,305,Increased
2017-09,4285,4331,-46,Decreased
2017-10,4631,4285,346,Increased
2017-11,7544,4631,2913,Increased
2017-12,5673,7544,-1871,Decreased
2018-01,7269,5673,1596,Increased
2018-02,6728,7269,-541,Decreased
2018-03,7211,6728,483,Increased
2018-04,6939,7211,-272,Decreased
2018-05,6873,6939,-66,Decreased
2018-06,6167,6873,-706,Decreased
2018-07,6292,6167,125,Increased
2018-08,6512,6292,220,Increased
2018-09,16,6512,-6496,Decreased
2018-10,4,16,-12,Decreased
